DIRECTORIO,REGION,Ubicacion,Tipo_vivienda,Material_exterior,Material_piso,Material_techo,Estrato
7122041,2,1,1,1,4,3,2
7122044,2,1,1,1,4,4,1
7122046,2,1,2,1,4,1,4
7122047,2,1,1,1,4,2,3
7122051,2,1,2,1,4,1,4
7122052,2,1,2,1,4,1,4
7122055,2,1,2,1,4,2,2
7122056,2,1,1,1,4,3,2
7122057,2,1,2,1,4,1,2
7122058,2,1,1,1,6,1,2
7122061,2,1,2,1,4,4,2
7122062,2,1,1,1,4,1,2
7122063,2,1,2,1,4,5,2
7122064,2,1,2,1,6,4,2
7122065,2,1,2,1,4,3,3
7122066,2,1,2,1,4,4,2
7122067,2,1,2,1,4,1,2
7122068,2,1,2,1,6,3,2
7122069,2,1,2,1,6,3,2
7122071,2,1,2,1,4,1,3
7122074,2,1,2,1,4,3,2
7122075,2,1,2,1,4,1,1
7122076,2,1,1,1,4,1,1
7122077,2,1,1,1,4,3,1
7122078,2,1,1,5,5,4,1
7122079,2,1,1,1,4,2,1
7122081,2,1,1,1,4,1,2
7122083,2,1,1,1,4,4,2
7122084,2,1,1,1,6,1,2
7122085,2,1,1,1,6,4,2
7122087,2,1,1,1,4,1,1
7122088,2,1,2,1,4,1,2
7122089,2,1,2,1,4,1,2
7122090,2,1,1,1,4,3,2
7122091,2,1,2,1,4,1,2
7122093,2,1,1,1,4,3,3
7122094,2,1,1,1,4,3,3
7122096,2,1,1,1,4,3,2
7122097,2,1,2,1,4,3,3
7122098,2,1,2,1,4,1,3
7122103,2,1,1,1,4,4,2
7122104,2,1,2,1,4,3,2
7122105,2,1,1,1,4,3,2
7122108,2,1,1,1,4,3,3
7122110,2,1,1,1,4,3,3
7122111,2,1,1,1,4,3,3
7122113,2,1,1,1,3,3,3
7122117,2,1,2,1,4,1,2
7122118,2,1,1,1,6,3,2
7122119,2,1,1,1,4,3,2
7122121,2,1,3,8,6,4,2
7122122,2,1,2,1,6,4,2
7122123,2,1,1,1,6,4,2
7122125,2,1,1,1,4,3,2
7122127,2,1,1,1,3,3,3
7122128,2,1,1,1,4,3,3
7122131,2,1,1,1,4,2,2
7122132,2,1,1,1,4,3,2
7122134,2,1,1,1,4,3,2
7122135,2,1,1,1,4,3,3
7122136,2,1,2,1,4,3,2
7122137,2,1,1,1,4,3,2
7122138,2,1,1,1,4,3,2
7122139,2,1,2,1,4,1,2
7122140,2,1,1,1,4,3,2
7122141,2,1,3,1,6,3,2
7122142,2,1,3,1,6,3,2
7122143,2,1,2,1,4,3,2
7122145,2,1,1,1,4,3,2
7122146,2,1,3,1,6,4,2
7122147,2,1,1,1,4,3,3
7122148,2,1,1,1,2,3,2
7122149,2,1,1,1,4,3,2
7122150,2,1,1,1,4,3,3
7122151,2,1,2,1,4,2,2
7122152,2,1,1,1,4,3,2
7122153,2,1,1,1,4,3,2
7122154,2,1,1,1,4,2,2
7122157,2,1,2,1,4,3,2
7122159,7,1,2,1,4,1,6
7122161,7,1,1,1,4,2,5
7122162,7,1,1,1,4,2,5
7122163,7,1,2,1,4,1,4
7122164,7,1,1,1,4,2,4
7122165,7,1,1,1,4,2,5
7122166,7,1,2,1,4,1,4
7122167,7,1,2,1,4,1,6
7122168,7,1,2,1,4,1,4
7122171,7,1,2,1,4,1,5
7122172,7,1,2,1,4,1,4
7122173,7,1,2,1,4,1,5
7122174,7,1,2,1,4,1,5
7122176,7,1,1,1,4,2,4
7122180,7,1,2,1,4,1,6
7122183,7,1,2,1,4,1,5
7122184,7,1,2,1,4,1,5
7122185,7,1,2,1,4,1,4
7122187,7,1,2,1,4,1,5
7122188,7,1,2,1,4,1,6
7122189,7,1,2,1,4,1,6
7122190,7,1,2,1,4,1,6
7122191,7,1,2,1,4,1,5
7122192,7,1,2,1,4,1,5
7122193,7,2,2,1,4,4,1
7122195,7,2,1,1,6,4,1
7122197,7,1,1,1,4,3,2
7122198,7,1,1,1,4,1,2
7122199,7,1,2,1,4,1,2
7122200,7,1,2,1,4,1,2
7122201,7,1,2,1,4,1,3
7122202,7,1,2,1,4,4,4
7122203,7,1,1,1,4,2,3
7122204,7,1,1,1,4,1,2
7122205,7,1,2,1,4,1,3
7122206,7,1,2,1,4,1,3
7122207,7,1,1,1,4,1,3
7122208,7,2,1,7,6,3,0
7122209,7,2,1,1,6,3,1
7122210,7,2,1,1,6,4,1
7122211,7,2,1,1,4,3,1
7122212,7,2,1,1,4,4,1
7122213,7,2,1,1,4,4,1
7122214,7,2,2,1,6,3,1
7122215,7,1,1,1,4,1,3
7122216,7,1,1,1,4,1,3
7122217,7,1,2,1,4,1,2
7122219,7,1,1,1,6,1,1
