DIRECTORIO,Parentesco,Recibieron_Subsidio,Dinero_subsidio,SubsidioS
7180766,1,1,880000,1
7180785,1,3,1440000,1
7180785,1,3,1440000,1
7180787,1,2,50000,1
7180827,1,1,80000,1
7180828,1,1,200000,1
7180830,1,4,60000,1
7180917,1,2,1900000,1
7180922,1,1,340000,1
7180923,1,1,1000000,1
7180976,1,1,960000,1
7180993,1,2,2340000,1
7181064,1,1,400000,1
7181599,1,4,1000000,1
7181630,1,1,1300000,1
7181655,1,1,100000,1
7181765,1,1,600000,1
7181820,1,2,840000,1
7181951,1,1,750000,1
7182064,1,1,64000,1
7182225,1,1,200000,1
7182229,1,1,200000,1
7182247,1,1,519000,1
7182254,1,1,1400000,1
7182289,1,1,120000,1
7182297,1,1,300000,1
7182727,1,1,450000,1
7182855,1,1,780000,1
7182875,1,5,1080000,1
7183302,1,1,400000,1
7183704,1,1,99,1
7183860,1,1,12000000,1
7183884,1,1,4000000,1
7183978,1,1,3000000,1
7183982,1,1,3000000,1
7184109,1,1,1200000,1
7184109,2,1,1200000,1
7184477,1,1,1140000,1
7184498,1,1,840000,1
7184499,1,1,1300000,1
7184568,1,2,504000,1
7184590,1,1,450000,1
7184593,1,1,500000,1
7184598,1,1,230000,1
7184602,1,1,700000,1
7184778,1,1,4000000,1
7184911,1,1,1200000,1
7184941,1,1,700000,1
7184951,1,1,120000,1
7184956,1,3,936000,1
7184959,1,2,744000,1
7184966,1,2,1200000,1
7184967,1,2,1200000,1
7185034,1,2,4800000,1
7185196,1,2,4000000,1
7185521,1,2,720000,1
7186086,1,3,240000,1
7186312,1,1,2400000,1
7186436,1,1,4000000,1
7186820,1,1,400000,1
7186932,1,1,2000000,1
7186938,1,1,266000,1
7186942,1,1,1000000,1
7186947,1,1,240000,1
7186950,1,1,2000000,1
7186953,1,1,2000000,1
7186967,1,1,2000000,1
7186971,1,8,3000000,1
7187461,1,1,400000,1
7187485,1,2,2400000,1
7187485,2,1,600000,1
7187684,1,1,300000,1
7187684,2,1,300000,1
7188184,1,1,21600000,1
7189401,1,1,760000,1
7189415,1,1,12000000,1
7189417,1,1,1800000,1
7189480,1,1,200000,1
7189485,1,2,570000,1
7189501,1,1,350000,1
7190075,1,1,4000000,1
7190119,1,1,12000000,1
7190152,1,1,300000,1
7190157,1,1,100000,1
7190284,1,1,800000,1
7190565,1,1,1400000,1
7191063,1,6,1236800,1
7191475,1,4,650000,1
7191476,1,1,1200000,1
7191477,1,1,1200000,1
7191479,1,1,1460000,1
7191482,1,2,2000000,1
7191482,2,1,1000000,1
7191485,1,4,99,1
7191486,1,1,1440000,1
7191491,1,1,1200000,1
7191493,1,1,1200000,1
7191495,1,1,1200000,1
7191498,1,1,2400000,1
7191499,1,1,1200000,1
7191504,1,1,1500000,1
7191510,1,1,99,1
7191512,1,1,800000,1
7191514,1,1,1200000,1
7191515,1,1,2000000,1
7191516,1,1,700000,1
7191519,1,1,480000,1
7191522,1,1,800000,1
7191525,1,1,900000,1
7191528,1,1,650000,1
7191533,1,1,2400000,1
7191536,1,4,1800000,1
7191537,1,1,1200000,1
7191540,1,1,1800000,1
7191545,1,1,720000,1
7191550,1,1,1800000,1
7191562,1,1,1200000,1
7191590,1,1,800000,1
7191592,1,1,800000,1
7191595,1,3,1200000,1
7191709,1,1,960000,1
7192067,1,1,12000000,1
7192387,1,1,371875,1
7192436,1,3,600000,1
7192448,1,1,360000,1
7192458,1,2,624000,1
7192462,1,1,312000,1
7192463,1,3,1272000,1
7192465,1,1,300000,1
7192467,1,3,936000,1
7192468,1,1,312000,1
7192472,1,1,312000,1
7192477,1,2,624000,1
7192482,1,2,1728000,1
7192559,1,2,600000,1
7192656,1,1,140000,1
7192845,1,1,600000,1
7193067,1,1,1200000,1
7193159,1,2,1320000,1
7193160,1,1,813000,1
7193170,1,1,400000,1
7193291,1,4,1400000,1
7193400,1,1,1600000,1
7193699,1,1,200000,1
7193763,1,1,200000,1
7193764,1,1,1000000,1
7193926,1,2,16800000,1
7193938,1,1,410000,1
7193941,1,1,500000,1
7194048,1,1,99,1
7194092,1,1,655200,1
7194210,1,1,250000,1
7194465,1,1,13200000,1
7194754,1,1,1100000,1
7194778,1,1,540000,1
7194835,1,1,1080000,1
7195940,1,1,400000,1
7196457,1,1,500000,1
7196458,1,2,140000,1
7196477,1,1,240000,1
7196499,1,1,600000,1
7196644,1,2,600000,1
7196644,2,1,600000,1
7196649,1,1,400000,1
7196859,1,1,350000,1
7197045,1,1,400000,1
7197089,1,1,1500000,1
7197116,1,1,960000,1
7197141,1,1,1020000,1
7197147,1,1,1020000,1
7197382,1,1,380000,1
7197491,1,1,2000000,1
7197497,1,1,2000000,1
7197500,1,1,2000000,1
7197505,1,1,2000000,1
7197523,1,1,2000000,1
7197557,1,1,3600000,1
7197573,1,2,600000,1
7197589,1,1,775000,1
7197598,1,3,180000,1
7197603,1,3,900000,1
7197605,1,2,400000,1
7197614,1,2,400000,1
7197702,1,1,8000000,1
7197712,1,1,36000,1
7197713,1,1,200000,1
7197715,1,1,90000,1
7197718,1,1,2000000,1
7197718,2,1,100000,1
7198060,1,1,412000,1
7198232,1,2,100000,1
7198363,1,1,760000,1
7198406,1,1,1200000,1
7198417,1,1,2400000,1
7198710,1,1,600000,1
7199221,1,1,900000,1
7199229,1,1,700000,1
7199329,1,2,350000,1
7199375,1,1,1140000,1
7199486,1,1,9600000,1
7199543,1,2,1200000,1
7199557,1,1,4000000,1
7199560,1,1,4000000,1
7199574,1,2,1600000,1
7199820,1,2,1800000,1
7199998,1,1,200000,1
7200043,1,1,960000,1
7200090,1,1,2000000,1
7200092,1,5,1160000,1
7200092,2,1,1600000,1
7200093,1,1,700000,1
7200117,1,1,1000000,1
7200125,1,1,600000,1
7200127,1,3,700000,1
7200128,1,4,826000,1
7200133,1,1,200000,1
7200149,1,1,2400000,1
