DIRECTORIO,ID,Sexo,Edad,Parentesco,Estado_civil,Conyuge,Padre_vive,Madre_vive,Cultura,Campesino,Satisfaccion_vida,Satisfaccion_economica,Satisfaccion_salud,Satisfaccion_trabajo,Felicidad,Tristeza,Escalon_vida,Hijos,REGION,Ubicacion,Tipo_vivienda,Material_exterior,Material_piso,Material_techo,Estrato,ORDEN,Num_Cuartos,Num_cuartos_para_dormir,Ingreso_hogar,Ingreso_percapita,cantidad_personas,Tiene_EPS,Percepcion,Prepagada,Estado_salud,Enfermedad_grave,Sabe_escribir_leer,Estudia?,Nivel_educativo,Publico_privado,Actividad,Pension,Recibe_ingreso,Recibe_ingreso_alimento,Recibe_ingreso_bienes,Recibieron_Subsidio,Dinero_subsidio,SubsidioS,Veces_lavadora,Tamaño_nevera,Horas_pc,Pago_energia,Pago_gas
7124163,3,1,41,1,6,1,2,2,6,2,7,7,6,10,7,6,7,1,9,1,2,1,4,1,1,1,4,2,1762500,587500,3,1,1,2,3,2,1,1, ,1,1,1,2,2,2,1.0,750000.0,1.0,2,1,1,30000,48000
7124272,3,1,58,1,6,1,3,3,6,2,7,1,7,7,9,0,3,1,1,1,2,1,4,3,2,1,4,2,690000,230000,3,1,3,2,3,1,1,2,5, ,1,2,2,2,2,1.0,1080000.0,1.0,2, , ,82000,24000
7124276,3,1,43,1,2,1,2,2,6,2,10,3,4,2,3,5,6,3,1,1,2,1,4,5,1,1,2,1,1343538,268707,5,1,2,2,3,1,1,2,4, ,1,2,2,2,2,1.0,1700000.0,1.0, ,1,2,25000,12000
7124291,3,1,49,1,2,1,2,2,6,2,10,10,10,1,9,2,10,0,1,1,2,1,4,1,3,1,3,1,1357500,678750,2,2, ,2,1,2,1,2,7, ,1,1,2,2,2,1.0,790000.0,1.0,2,3, ,102000,22000
7124291,3,1,49,1,2,1,2,2,6,2,10,10,10,1,9,2,10,0,1,1,2,1,4,1,3,1,3,1,1357500,678750,2,2, ,2,1,2,1,2,7, ,1,1,2,2,2,1.0,790000.0,1.0,2,3, ,102000,22000
7124558,3,1,61,1,6,1,3,2,6,1,6,99,6,6,5,7,6,0,1,1,2,1,6,4,1,1,3,2,181666,36333,5,1,2,2,2,1,2,2,1, ,5,2,2,2,2,1.0,380000.0,1.0, ,2, ,99,15000
7124558,3,1,61,1,6,1,3,2,6,1,6,99,6,6,5,7,6,0,1,1,2,1,6,4,1,1,3,2,181666,36333,5,1,2,2,2,1,2,2,1, ,5,2,2,2,2,1.0,380000.0,1.0, ,2, ,99,15000
7124558,3,1,61,1,6,1,3,2,6,1,6,99,6,6,5,7,6,0,1,1,2,1,6,4,1,1,3,2,181666,36333,5,1,2,2,2,1,2,2,1, ,5,2,2,2,2,1.0,380000.0,1.0, ,2, ,99,15000
7124558,3,1,61,1,6,1,3,2,6,1,6,99,6,6,5,7,6,0,1,1,2,1,6,4,1,1,3,2,181666,36333,5,1,2,2,2,1,2,2,1, ,5,2,2,2,2,1.0,380000.0,1.0, ,2, ,99,15000
7124558,3,1,61,1,6,1,3,2,6,1,6,99,6,6,5,7,6,0,1,1,2,1,6,4,1,1,3,2,181666,36333,5,1,2,2,2,1,2,2,1, ,5,2,2,2,2,1.0,380000.0,1.0, ,2, ,99,15000
