Hijos,Edad,Cultura,Felicidad,Ingreso_Hogares,Ingreso_Per_capita,Nivel_educativo,Actividad
2,47,6,7,4819500,1204875,9,6
2,43,6,8,4819500,1204875,9,1
0,63,6,10,250000,250000,4,6
0,76,6,8,1400000,700000,4,1
0,76,6,8,1400000,700000,4,1
1,29,6,10,1310000,436666,4,1
1,26,6,10,1310000,436666,4,4
3,43,6,8,1488116,297623,7,1
3,47,6,9,1488116,297623,7,1
1,35,6,8,2785000,928333,5,4
3,47,6,5,1955574,391114,3,1
3,37,6,8,1955574,391114,4,4
0,62,6,5,533333,533333,3,4
1,52,6,8,5462933,2731466,11,1
1,41,6,9,1262500,420833,3,1
1,47,6,9,1262500,420833,3,1
2,36,6,3,1179333,294833,3,2
2,36,6,1,1179333,294833,5,2
0,58,6,6,3006666,1503333,4,2
0,58,6,6,3006666,1503333,4,2
0,48,6,10,1700000,850000,1,1
0,48,6,10,1700000,850000,1,1
1,24,6,5,2400000,480000,5,4
4,34,6,8,3260000,543333,3,1
0,63,6,8,1830000,1830000,10,4
0,59,6,9,3000000,1500000,11,1
0,59,6,9,3000000,1500000,11,1
0,48,6,9,3000000,1500000,10,1
0,48,6,9,3000000,1500000,10,1
0,50,6,10,3100000,1550000,11,1
0,50,6,10,3100000,1550000,11,1
0,49,6,10,3100000,1550000,5,1
0,49,6,10,3100000,1550000,5,1
2,46,6,6,2337500,584375,11,1
2,36,6,8,2337500,584375,7,4
1,78,6,6,2400000,800000,3,4
1,81,6,3,2400000,800000,3,5
0,22,6,8,2930000,1465000,11,1
0,22,6,8,2930000,1465000,11,1
3,35,6,4,1635000,408750,11,4
1,77,6,5,2750000,916666,1,4
2,31,6,10,1081666,270416,5,4
2,46,6,7,828333,276111,1,1
3,34,6,5,2120000,424000,11,1
3,39,6,3,2120000,424000,3,1
0,47,6,10,2600000,1300000,3,1
0,47,6,10,2600000,1300000,3,1
0,44,6,10,2600000,1300000,3,1
0,44,6,10,2600000,1300000,3,1
1,58,6,5,2793500,1396750,3,4
0,66,6,9,4866666,2433333,3,1
0,66,6,9,4866666,2433333,3,1
0,62,6,10,4866666,2433333,5,4
0,62,6,10,4866666,2433333,5,4
2,52,6,8,4400000,1100000,7,4
0,22,6,8,2105365,1052682,7,1
0,22,6,8,2105365,1052682,7,1
0,19,6,7,2105365,1052682,5,1
0,19,6,7,2105365,1052682,5,1
2,30,6,8,1156616,385538,6,1
0,57,6,2,1200000,400000,5,1
0,57,6,2,1200000,400000,5,1
0,57,6,2,1200000,400000,5,1
0,53,6,3,1200000,400000,1,4
0,53,6,3,1200000,400000,1,4
0,53,6,3,1200000,400000,1,4
2,31,6,5,1321666,330416,5,1
2,46,6,7,1321666,330416,4,4
2,48,6,5,1000000,333333,4,4
1,71,6,3,2934333,733583,3,4
1,55,6,8,2934333,733583,3,4
0,24,6,5,2589523,1294761,9,1
0,24,6,5,2589523,1294761,9,1
0,34,6,8,2589523,1294761,9,1
0,34,6,8,2589523,1294761,9,1
1,63,6,10,1750000,583333,3,1
1,64,6,0,1750000,583333,3,4
0,62,6,10,3150000,975000,3,1
0,62,6,10,3150000,975000,3,1
0,62,6,10,3150000,975000,3,1
0,70,6,10,3150000,975000,3,1
0,70,6,10,3150000,975000,3,1
0,70,6,10,3150000,975000,3,1
3,32,6,0,1241666,310416,9,1
2,34,6,6,1295000,323750,3,1
2,32,6,1,1295000,323750,10,1
1,50,6,3,550000,275000,5,1
0,67,6,8,3068116,1534058,7,5
0,67,6,8,3068116,1534058,7,5
0,61,6,0,3068116,1534058,4,6
0,61,6,0,3068116,1534058,4,6
3,46,6,7,4348500,869700,5,1
0,44,5,10,1774833,1774833,9,1
1,61,6,10,1280000,426666,3,1
1,52,6,10,1280000,426666,5,4
2,68,6,8,2561833,853944,3,4
0,59,6,7,700000,350000,3,1
0,59,6,7,700000,350000,3,1
0,73,6,10,2030500,253812,1,4
0,73,6,10,2030500,253812,1,4
0,73,6,10,2030500,253812,1,4
0,73,6,10,2030500,253812,1,4
0,73,6,10,2030500,253812,1,4
0,73,6,10,2030500,253812,1,4
0,73,6,10,2030500,253812,1,4
0,73,6,10,2030500,253812,1,4
0,73,5,7,2030500,253812,1,4
0,73,5,7,2030500,253812,1,4
0,73,5,7,2030500,253812,1,4
0,73,5,7,2030500,253812,1,4
0,73,5,7,2030500,253812,1,4
0,73,5,7,2030500,253812,1,4
0,73,5,7,2030500,253812,1,4
0,73,5,7,2030500,253812,1,4
2,39,6,9,1100000,275000,3,1
2,36,6,10,2278666,569666,5,1
0,57,6,8,225000,225000,1,4
1,68,6,10,1828000,914000,4,6
2,31,6,10,1288333,322083,5,1
3,40,6,5,2527898,315987,5,4
3,41,6,3,2527898,315987,3,1
1,48,6,9,3850000,962500,4,1
1,45,6,5,3850000,962500,5,6
2,38,6,5,2530184,632546,5,1
2,40,6,7,2530184,632546,3,1
2,59,6,8,3539166,884791,5,1
2,54,6,10,3539166,884791,7,4
3,54,6,7,2128333,425666,5,1
3,40,6,5,2128333,425666,5,4
0,29,6,7,2533333,844444,9,1
0,29,6,7,2533333,844444,9,1
0,29,6,7,2533333,844444,9,1
0,56,6,10,1678116,839058,5,1
0,56,6,10,1678116,839058,5,1
0,64,6,10,1678116,839058,5,4
0,64,6,10,1678116,839058,5,4
0,51,6,10,2532032,1266016,7,1
0,51,6,10,2532032,1266016,7,1
0,41,6,10,2532032,1266016,3,1
0,41,6,10,2532032,1266016,3,1
0,69,6,9,1284366,642183,5,4
0,69,6,9,1284366,642183,5,4
0,56,6,7,2200000,2200000,3,1
1,45,6,9,1400000,466666,5,1
1,39,6,8,1400000,466666,9,1
2,58,6,7,2825000,565000,5,4
1,56,6,10,3025728,1008576,5,4
