DIRECTORIO,REGION,CANT_HOGARES_VIVIENDA,Ubicacion,Tipo_vivienda,Material_exterior,Material_piso,Material_techo,Estrato,SECUENCIA_ENCUESTA_x,Num_Cuartos,Num_cuartos_para_dormir,Ingreso_hogar,Ingreso_percapita,cantidad_personas,Recibieron_Subsidio,Dinero_subsidio,Veces_lavadora,Tamaño_nevera,Horas_pc,Pago_energia,Pago_gas,SECUENCIA_P,ID,Sexo,Edad,Parentesco,Estado_civil,Conyuge,Padre_vive,Madre_vive,Cultura,Campesino,Satisfaccion_vida,Satisfaccion_economica,Satisfaccion_salud,Satisfaccion_trabajo,Felicidad,Tristeza,Escalon_vida,Tiene_EPS,Percepcion,Prepagada,Estado_salud,Enfermedad_grave,Sabe_escribir_leer,Estudia?,Nivel_educativo,Publico_privado,Actividad,Pension,Recibe_ingreso,Recibe_ingreso_alimento,Recibe_ingreso_bienes
7123161,3,1,1,1,1,6,4,1,1,1,1,674166,168541,4,1,90000,2,1, ,80000,60000,1,5,1,21,3,5, ,1,2,6,2,8,7,3,7,7,2,8,2, ,2,2,2,1,1, ,1,3,2,2,2,2
7123161,3,1,1,1,1,6,4,1,1,1,1,674166,168541,4,1,90000,2,1, ,80000,60000,1,2,1,12,3,5, ,1,1,6, , , , , , , , ,1,4,2,1,2,1,1, ,1,3, ,2,2,2
7123197,3,1,1,1,1,6,4,1,1,4,1,605000,302500,2,2,300000, ,2, ,15000, ,1,3,1,83,1,6,1,3,3,6,1,6,4,4,6,7,4,5,1,2,2,3,2,1,2,3, ,4,2,2,2,2
7123197,3,1,1,1,1,6,4,1,1,4,1,605000,302500,2,2,300000, ,2, ,15000, ,1,3,2,74,2,6,1,3,3,6,1,6,5,4,2,2,7,4,1,2,2,3,1,2,2,1, ,4,2,2,2,2
7123220,3,1,2,1,6,6,4,1,1,2,1,930000,465000,2,1,360000, ,2, ,0, ,1,3,1,63,1,2,1,3,3,6,1,10,10,10,8,10,0,8,1,2,2,2,2,1,2,3, ,1,2,2,2,2
7123220,3,1,2,1,6,6,4,1,1,2,1,930000,465000,2,1,360000, ,2, ,0, ,1,3,2,66,2,2,1,3,3,6,1,10,99,7,4,10,0,8,1,2,2,3,1,1,2,3, ,4,2,2,2,2
7123255,2,1,1,2,1,4,3,2,1,3,2,4628333,2314166,2,1,1600000,2,1, ,40000,8000,1,3,1,57,1,6,2,3,3,6,2,5,4,4,6,8,0,6,1,3,2,2,2,1,2,11, ,1,1,2,2,2
7123255,2,1,1,2,1,4,3,2,1,3,2,4628333,2314166,2,1,1600000,2,1, ,40000,8000,1,3,2,19,3,5, ,1,2,6,2,8,99,6,7,7,2,5,1,4,2,1,2,1,1, ,1,3,2,2,2,2
7123307,4,1,1,2,1,6,4,1,1,3,2,160000,80000,2,1,720000, , , ,30000,6000,1,3,2,40,1,5, ,3,1,6,2,8,8,6,7,7,5,8,1,2,2,2,2,1,2,4, ,4,2,2,2,2
7123307,4,1,1,2,1,6,4,1,1,3,2,160000,80000,2,1,720000, , , ,30000,6000,1,3,2,76,5,3, ,3,3,6,2,7,6,3,2,3,3,4,1,2,2,4,1,2,2,1, ,5,2,2,2,2
7123335,4,1,1,1,3,6,4,2,1,2,1,582000,291000,2,1,492000, , , ,10500,80000,1,3,1,50,1,2,1,3,3,6,1,7,4,8,5,5,5,5,1,3,2,2,2,1,2,3, ,1,2,2,2,2
7123335,4,1,1,1,3,6,4,2,1,2,1,582000,291000,2,1,492000, , , ,10500,80000,1,3,2,47,2,2,1,2,2,6,1,6,4,8,4,4,5,5,2, ,2,2,2,1,2,3, ,4,2,2,2,2
7123389,3,1,1,1,1,6,4,2,1,4,2,1630459,815229,2,1,4000000,1,1, ,34000,16000,1,3,1,76,1,6,2,3,3,6,2,3,4,0,0,2,4,6,1,3,2,4,1,1,2,3, ,4,3,1,2,2
7123389,3,1,1,1,1,6,4,2,1,4,2,1630459,815229,2,1,4000000,1,1, ,34000,16000,1,3,2,48,3,5, ,1,2,6,1,0,99,4,0,2,7,0,1,9,2,3,2,2,2,1, ,5,2,2,2,2
7123507,9,1,1,2,1,4,1,1,1,3,2,1091449,545724,2,1,3000000, ,2,1,30000, ,1,3,2,33,1,5, ,2,2,1,2,5,2,7,7,5,6,4,1,2,2,2,2,1,2,5, ,1,2,2,2,2
7123507,9,1,1,2,1,4,1,1,1,3,2,1091449,545724,2,1,3000000, ,2,1,30000, ,1,2,2,14,3,5, ,3,1,1, , , , , , , , ,1,3,2,3,2,1,1, ,1,3, ,2,2,2
7123509,9,1,1,1,1,4,1,1,1,3,2,1633333,272222,6,1,5000000, , ,2,16000, ,1,3,1,51,1,2,1,2,3,6,2,5,3,2,4,5,4,2,1,2,2,3,2,1,2,3, ,6,2,2,2,2
7123509,9,1,1,1,1,4,1,1,1,3,2,1633333,272222,6,1,5000000, , ,2,16000, ,1,3,2,45,2,2,1,2,3,6,1,5,99,5,4,4,2,4,1,2,2,3,1,1,2,3, ,4,2,2,2,2
7123509,9,1,1,1,1,4,1,1,1,3,2,1633333,272222,6,1,5000000, , ,2,16000, ,1,3,1,27,3,5, ,1,1,6,2,8,10,10,8,10,2,5,1,9,2,2,2,1,2,3, ,2,2,2,2,2
7123509,9,1,1,1,1,4,1,1,1,3,2,1633333,272222,6,1,5000000, , ,2,16000, ,1,3,2,19,3,5, ,1,1,6,2,7,99,5,8,7,6,7,1,2,2,3,2,1,1, ,1,3,2,2,2,2
7123509,9,1,1,1,1,4,1,1,1,3,2,1633333,272222,6,1,5000000, , ,2,16000, ,1,3,1,18,3,5, ,1,1,6,2,5,99,5,6,6,4,7,1,2,2,3,2,1,1, ,1,4,2,2,2,2
7123648,9,1,1,1,1,6,3,1,1,3,1,1083333,541666,2,2,10000000, , , ,30000,27000,1,3,1,54,1,2,1,2,2,6,1,7,5,5,6,7,2,7,1,3,2,3,1,1,2,5, ,2,2,2,2,2
7123648,9,1,1,1,1,6,3,1,1,3,1,1083333,541666,2,2,10000000, , , ,30000,27000,1,3,2,44,2,2,1,2,2,6,1,7,99,8,6,7,1,8,1,3,2,2,2,1,2,3, ,4,2,2,2,2
7123706,9,1,1,1,5,5,4,0,1,2,1,300000,150000,2,2,900000, ,1, ,0, ,1,3,1,81,1,6,1,3,3,6,1,0,5,5,0,5,5,4,1,3,2,3,2,2,2,1, ,1,2,2,2,2
7123706,9,1,1,1,5,5,4,0,1,2,1,300000,150000,2,2,900000, ,1, ,0, ,1,3,2,76,2,6,1,3,3,6,1,9,5,0,0,8,8,4,1,2,2,3,1,1,2,3, ,4,2,2,2,2
7123866,1,1,1,2,1,4,3,1,1,3,2,1263666,421222,3,1,400000,2,1, ,40000,20000,1,3,1,55,1,6,1,3,2,6,2,7,6,6,10,5,6,6,1,9,2,3,2,1,2,5, ,1,2,2,2,2
7123866,1,1,1,2,1,4,3,1,1,3,2,1263666,421222,3,1,400000,2,1, ,40000,20000,1,3,2,49,2,6,1,2,2,6,2,0,99,8,0,10,0,0,1,1,2,2,1,1,2,7, ,4,2,2,2,2
7123866,1,1,1,2,1,4,3,1,1,3,2,1263666,421222,3,1,400000,2,1, ,40000,20000,1,2,2,17,3,5, ,1,1,6,2,8,5,9,10,9,0,5,1,1,2,2,2,1,1, ,1,3,2,2,2,2
7123953,2,1,1,1,1,7,4,1,1,3,1,392833,196416,2,1,514000, ,1, ,25000, ,1,3,2,42,1,2,1,3,2,6,2,8,7,5,6,0,0,9,1,2,2,3,2,1,2,7, ,4,2,2,2,2
7123953,2,1,1,1,1,7,4,1,1,3,1,392833,196416,2,1,514000, ,1, ,25000, ,1,3,1,39,2,2,1,3,2,6,1,9,7,9,7,10,0,9,1,2,2,2,2,1,2,3, ,1,2,2,2,2
7124158,9,1,1,1,4,7,4, ,1,2,1,2073333,691111,3,1,600000, , , , , ,1,3,2,46,1,6,1,2,2,1,2,5,5,4,0,5,5,0,1,3,2,2,2,1,2,5, ,1,2,2,2,2
7124158,9,1,1,1,4,7,4, ,1,2,1,2073333,691111,3,1,600000, , , , , ,1,3,1,44,2,6,1,2,2,1,1,10,0,10,10,5,5,5,1,2,2,2,2,1,2,4, ,1,2,2,2,2
7124158,9,1,1,1,4,7,4, ,1,2,1,2073333,691111,3,1,600000, , , , , ,1,5,1,17,3,5, ,1,1,1,1,5,5,10,10,10,0,5,1,2,2,2,2,1,2,4, ,1,2,2,2,2
7124160,9,1,1,2,1,4,1,9,1,1,1,1009333,1009333,1,1,400000, ,2, ,10000, ,1,3,1,24,1,5, ,2,2,6,2,9,8,10,6,9,0,7,1,9,2,1,2,1,1, ,1,1,2,2,2,2
7124163,9,1,1,2,1,4,1,1,1,4,2,1762500,587500,3,1,750000,2,1,1,30000,48000,1,3,1,41,1,6,1,2,2,6,2,7,7,6,10,7,6,7,1,1,2,3,2,1,1, ,1,1,1,2,2,2
7124163,9,1,1,2,1,4,1,1,1,4,2,1762500,587500,3,1,750000,2,1,1,30000,48000,1,3,2,37,2,6,1,2,2,6,1,8,5,10,7,9,0,7,1,1,2,1,2,1,2,11, ,4,2,2,2,2
7124272,1,1,1,2,1,4,3,2,1,4,2,690000,230000,3,1,1080000,2, , ,82000,24000,1,3,1,58,1,6,1,3,3,6,2,7,1,7,7,9,0,3,1,3,2,3,1,1,2,5, ,1,2,2,2,2
7124272,1,1,1,2,1,4,3,2,1,4,2,690000,230000,3,1,1080000,2, , ,82000,24000,1,3,2,64,2,6,1,3,3,6,2,9,9,5,9,4,7,10,1,3,2,3,1,1,2,3, ,5,2,2,2,2
