DIRECTORIO,REGION,Ubicacion,Tipo_vivienda,Material_exterior,Material_piso,Material_techo,Estrato,Num_Cuartos,Num_cuartos_para_dormir,Ingreso_hogar,Ingreso_percapita,cantidad_personas,Recibieron_Subsidio,Dinero_subsidio,Veces_lavadora,Tamaño_nevera,Horas_pc,Pago_energia,Pago_gas
7130696,9.0,1.0,1.0,5.0,7.0,4.0,0,3,2,876666,175333,5,1,800000, , , ,25000, 
7130843,9.0,2.0,1.0,1.0,4.0,4.0,8,3,1,1000000,1000000,1,1,6000000, ,1, ,0, 
7130926,9.0,1.0,1.0,5.0,6.0,4.0,1,2,2,715000,119166,6,1,50000, ,1, ,35000,8000
7131093,1.0,2.0,1.0,1.0,6.0,3.0,0,3,1,514250,128562,4,1,480000,2,1, ,0, 
7131338,2.0,1.0,1.0,1.0,4.0,2.0,3,5,3,3862666,772533,5,1,400000,3,1, ,100000,25000
7131594,3.0,2.0,1.0,5.0,6.0,4.0,2,4,1,858333,429166,2,1,500000, ,1, ,27000, 
7131607,3.0,2.0,1.0,1.0,4.0,4.0,1,6,2,2530000,632500,4,1,4200000, ,2, ,20000, 
7131773,3.0,2.0,1.0,1.0,4.0,3.0,9,7,5,7781000,1111571,7,3,138000,3,1,2,0, 
7131814,6.0,1.0,2.0,1.0,4.0,3.0,2,3,2,1283333,213888,6,1,1200000,3,2, ,56000,14000
7131854,,,,,,,,3,3,1780000,445000,4,1,300000,3, , ,160000, 
7132273,9.0,1.0,1.0,1.0,4.0,4.0,1,4,3,626666,125333,5,1,800000,2,2, ,30000, 
7132275,9.0,1.0,1.0,1.0,6.0,4.0,0,4,3,891833,222958,4,1,500000,2,2, ,45000, 
7132697,3.0,2.0,1.0,1.0,6.0,4.0,1,2,1,3228333,3228333,1,1,600000, , , ,15000, 
7132788,2.0,1.0,1.0,1.0,4.0,4.0,2,3,2,2911666,485277,6,3,12600000,2,1, ,100000,20000
7132849,2.0,1.0,1.0,1.0,4.0,2.0,4,5,1,8000000,4000000,2,1,1200000,2,3, ,150000,15000
7133160,9.0,1.0,4.0,5.0,6.0,6.0,1,3,2,545000,136250,4,2,1080000, ,1, ,50000, 
7133197,9.0,1.0,2.0,1.0,4.0,1.0,1,3,2,735000,245000,3,1,3000000, ,2, ,20000, 
7133721,1.0,1.0,2.0,1.0,6.0,3.0,1,3,2,2001449,667149,3,2,820000, ,1, ,56000,8000
7133951,2.0,2.0,1.0,2.0,7.0,3.0, ,2,1,550000,275000,2,1,600000, , , , , 
